public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,field_of_study,degree_name,school,school_linkedin_profile_url,description,logo_url,grade,activities_and_societies
,,,,,,,,,,,,,,
"adammgrant","1","1","1999","31","12","2003","Psychology","B.A.","Harvard University","https://www.linkedin.com/company/1646/",,"https://media.licdn.com/dms/image/C4E0BAQF5t62bcL0e9g/company-logo_400_400/0/1631318058235?e=1715817600&v=beta&t=TGqB6_OTAJ-1_YHinAAmPynzh_4oLdnamRD4xFDzAR4",,
"adammgrant","1","1","2003","31","12","2006","Organizational Psychology","Ph.D. and M.S.","University of Michigan","https://www.linkedin.com/company/2516/",,"https://media.licdn.com/dms/image/C4E0BAQFGfERBPGurCg/company-logo_400_400/0/1631307390795?e=1715817600&v=beta&t=PWGFjxd89Ma-iSv4HVOkCpq3he5VHlaD13JsyMo_DrU",,
"adarsh-pathange",,,,,,,"Information Technology and Management","Master of Science - MS","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"adarsh-pathange","1","8","2014","31","7","2018","Computer Science and Engineering","Bachelor of Technology","REVA University","https://www.linkedin.com/company/9415817/",,"https://media.licdn.com/dms/image/D560BAQHK5zP2639Puw/company-logo_400_400/0/1692179579650/reva_university_logo?e=1717632000&v=beta&t=6MofItZu6gC3Zm9m-7g4K2_SsUKEvsmCGRGSqKUby_M",,
"ajjames","1","1","1990","31","12","1992","Marketing, Communications & Public Relations, Marketing, Communications & Public Relations","Bachelor of Business","University of Technology Sydney","https://www.linkedin.com/company/166678/",,"https://media.licdn.com/dms/image/C560BAQHW5Zk21s3IBA/company-logo_400_400/0/1631330781753?e=1712188800&v=beta&t=95UsjO3RjaMzL0gmipQdgfzaNlusOuoUodvcDwLtT90",,
"ajjames","1","1","1986","31","12","1990","Computer Science & Information Science","Bachelor of Applied Science","University of Technology Sydney","https://www.linkedin.com/company/166678/",,"https://media.licdn.com/dms/image/C560BAQHW5Zk21s3IBA/company-logo_400_400/0/1631330781753?e=1712188800&v=beta&t=95UsjO3RjaMzL0gmipQdgfzaNlusOuoUodvcDwLtT90",,
"ajjames","1","1","1978","31","12","1986","Business/Commerce, General","Higher School Certificate","Newington College","https://www.linkedin.com/company/452716/","Newington is a Boys K-12 Day and Boarding School located in Stanmore in the heart of Sydney’s Inner West. It is one of the six founding members of the GPS, an alliance of independent boys’ schools in New South Wales.

Five key ‘Pillars of Distinction’ set Newington’s priorities and goals into the future: Learning and Teaching for excellence and discovery, Well-being, Character and Service; Spirituality, Values and Ethics; Co-curricular Engagement; and Community in Partnership. ","https://media.licdn.com/dms/image/C4D0BAQHzYRmLDWWYzQ/company-logo_400_400/0/1631329092500?e=1712188800&v=beta&t=vvFeBhrVhQeeSEq1z8SAxuCKLRC1PACc6CHDwycxslY",,
"ajjames","1","1","2000","31","12","2020","Sales, Growth, Innovation, Commercialisation","Marketing","Deep Asia Pacific Market Experience",,,,"World class",
"akshatha-ganji","1","1","2023",,,,"Information Technology","Master of Science - MS","Illinois Institute of Technology","https://www.linkedin.com/company/illinois-tech",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0","4",
"akshatha-ganji","1","8","2017","30","9","2021","Computer Science","Bachelor of Engineering - BE","DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT, BANGALORE","https://www.linkedin.com/company/15109372/",,"https://media.licdn.com/dms/image/C560BAQEb7Rg760nqJA/company-logo_400_400-alternative/0/1630668205115?e=1717632000&v=beta&t=rOgQtbwRWncKJMSBMfr46GMJ-8qMz_YPFwmKYL6fi0A","8.3",
"alfredo-garrachon","1","8","2023","30","6","2024","Artificial Intelligence","Master of Computer Science Specialised in Artificial Intelligence","Illinois Institute of Technology","https://www.linkedin.com/company/6328/","Skills: Artificial Intelligence · Machine Learning · Deep Learning · Natural Language Processing","https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
