public_identifier,languages
,
,
"adammgrant","[""English"",""Spanish""]"
"adammgrant","[""English"",""Spanish""]"
"adarsh-pathange","[""English"",""Hindi"",""Kannada"",""Marathi""]"
"adarsh-pathange","[""English"",""Hindi"",""Kannada"",""Marathi""]"
"ajjames","[""English""]"
"ajjames","[""English""]"
"akshatha-ganji","[]"
"akshatha-ganji","[]"
"alfredo-garrachon","[""Español"",""Inglés""]"
"alfredo-garrachon","[""Español"",""Inglés""]"
"andy-jassy-8b1615","[]"
"andy-jassy-8b1615","[]"
"angelwilson36","[]"
"angelwilson36","[]"
"aravind-ellandula-a23163206","[]"
"aravind-ellandula-a23163206","[]"
"arshamg","[]"
"arshamg","[]"
"avani-sathe-0026a5203","[""German""]"
"avani-sathe-0026a5203","[""German""]"
"ayutialgur","[]"
"ayutialgur","[]"
"barackobama","[]"
"barackobama","[]"
"berkgokova","[]"
"berkgokova","[]"
"berniefloresca","[""English"",""Ilocano"",""Spanish"",""Tagalog""]"
"berniefloresca","[""English"",""Ilocano"",""Spanish"",""Tagalog""]"
"brian-j-porter","[]"
"brian-j-porter","[]"
"calvinnobles","[]"
"calvinnobles","[]"
"ch-divyesh-b17a9a171","[]"
"ch-divyesh-b17a9a171","[]"
"chaitanya-bejjanki-55ba91171","[]"
"chaitanya-bejjanki-55ba91171","[]"
"chriskempczinski","[]"
"chriskempczinski","[]"
"cira-pozo-sanchez","[""Español"",""Inglés""]"
"cira-pozo-sanchez","[""Español"",""Inglés""]"
"deekshitha-gangam","[]"
"deekshitha-gangam","[]"
"diwakar-nayak-01355020a","[]"
"diwakar-nayak-01355020a","[]"
"entrust","[]"
"entrust","[]"
"fortnow","[]"
"fortnow","[]"
"gazcarater","[]"
"gazcarater","[]"
"gopal-raj-suresh-d","[]"
"gopal-raj-suresh-d","[]"
"harshal29","[""English"",""German""]"
"harshal29","[""English"",""German""]"
,
,
"interlee","[""Korean"",""English""]"
"interlee","[""Korean"",""English""]"
"ishanprabhune","[""English"",""Hindi"",""Marathi""]"
"ishanprabhune","[""English"",""Hindi"",""Marathi""]"
"jakka-gunith","[]"
"jakka-gunith","[]"
"jamiedimon","[]"
"jamiedimon","[]"
"javier-moreno-frutos","[""Inglés"",""Francés""]"
"javier-moreno-frutos","[""Inglés"",""Francés""]"
"joel-miranda-4159801a1","[]"
"joel-miranda-4159801a1","[]"
"mauricedawson","[""English"",""German"",""Java"",""Python"",""R Language"",""Ruby""]"
"mauricedawson","[""English"",""German"",""Java"",""Python"",""R Language"",""Ruby""]"
"morgan-richards-4a3353207","[]"
"morgan-richards-4a3353207","[]"
"narendramodi","[]"
"narendramodi","[]"
"nidhi-patni-jain","[""English"",""Hindi"",""Marathi"",""Marwari"",""Sanskrit""]"
"nidhi-patni-jain","[""English"",""Hindi"",""Marathi"",""Marwari"",""Sanskrit""]"
"p-s-r-c","[""English"",""Hindi"",""Tamil"",""Telugu""]"
"p-s-r-c","[""English"",""Hindi"",""Tamil"",""Telugu""]"
"phalgunkollepara","[]"
"phalgunkollepara","[]"
"preetham-voleti-45836619b","[]"
"preetham-voleti-45836619b","[]"
"rajcharan-haridasu-3993a2216","[]"
"rajcharan-haridasu-3993a2216","[]"
"rajeshgopinathan","[]"
"rajeshgopinathan","[]"
"rdedhia1","[]"
"rdedhia1","[]"
"reidhoffman","[]"
"reidhoffman","[]"
"renuka-suresh-adigesula","[]"
"renuka-suresh-adigesula","[]"
"roygori","[]"
"roygori","[]"
"satyanadella","[]"
"satyanadella","[]"
"shwetha-muralitharan","[]"
"shwetha-muralitharan","[]"
"sowjanya-msl-593000179","[]"
"sowjanya-msl-593000179","[]"
"sukanya-marati","[]"
"sukanya-marati","[]"
"surya-merala","[]"
"surya-merala","[]"
"varshcs","[]"
"varshcs","[]"
"vempati-hemapavani","[""English"",""Hindi"",""Telugu""]"
"vempati-hemapavani","[""English"",""Hindi"",""Telugu""]"
"venkata-sai-deep-gaddipati-654826249","[]"
"venkata-sai-deep-gaddipati-654826249","[]"
"vinay-kasa-254452148","[]"
"vinay-kasa-254452148","[]"
"vinutha-b-191b03210","[""English"",""Hindi"",""Kannada ""]"
"vinutha-b-191b03210","[""English"",""Hindi"",""Kannada ""]"
"williamhgates","[]"
"williamhgates","[]"
"yashraj-diwate","[]"
"yashraj-diwate","[]"
"yuhan-ding-2122b588","[]"
"yuhan-ding-2122b588","[]"
