public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,title,description,url
,,,,,,,,,
,,,,,,,,,
"adammgrant",,,,,,,,,
"adammgrant",,,,,,,,,
"adarsh-pathange",,,,,,,,,
"adarsh-pathange",,,,,,,,,
"ajjames","1","11","2010",,,,"Sample Central","Global franchise development, roll-out of network and partners across international marketing, multi-language SaaS big-data engine processing millions of consumer insights - driving business decision making for MNCs, opening and operating Sample Central stores. Large global B2B Sales.","http://www.sample-central.com"
"ajjames","1","11","2010",,,,"Sample Central","Global franchise development, roll-out of network and partners across international marketing, multi-language SaaS big-data engine processing millions of consumer insights - driving business decision making for MNCs, opening and operating Sample Central stores. Large global B2B Sales.","http://www.sample-central.com"
"akshatha-ganji",,,,,,,,,
"akshatha-ganji",,,,,,,,,
"alfredo-garrachon","1","10","2023","31","12","2023","Artificial Intelligence Approach for Optimization and Refinement of Psychological Analysis","This project explores the application of deep learning and machine learning techniques to enhance psychological testing. Centered on investigating the feasibility of reducing the number of questions in a psychological test without compromising the validity of the results.

The conclusions of this projects aim to answer the following reflection: it is preferable to maintain the number of original questions with ideally more valid results or to reduce the number of questions so that the user is more likely to take the test and maintain attention during the test despite theoretically not having full accuracy.

To answer this, deep learning and machine learning techniques are employed. The methodology includes researching the theory and basis of the most commonly used psychological tests, training different models with data open source data from a psychological test, using different feature selection techniques to identify the most relevant questions, and then training optimized models with a reduced number of features to compare the outcomes.

For more information, results, references and description of the project, please refer to the paper. To reproduce the results, please refer to the repository",
"alfredo-garrachon","1","10","2022","30","9","2023","THAURUS: An innovative multimodal chatbot based on the next generation of conversational AI","The next generation of conversational AI has brought incredible capabilities such as high contextuality, naturalness, multimodality, and extended knowledge, but also important challenges such as high user expectations, high latencies, large computa- tional requirements, as well as more subtle problems such as mismatch on existing databases for fine-tuning purposes, difficulties for pre-trained LLMs models to handle dialogue interactions, and the integration of multimodal capabilities.

This paper describes the architecture, methodology, and results of our THAURUS chatbot developed for the Alexa Prize Socialbot Grand Challenge (SGC5). Our proposal relies on several innovative ideas to take advantage of existing LLMs to create engaging user experiences that are capable of handling real users in a scalable way and without compromising the competition rules. Different SotA dialogue generators were fine-tuned and incorporated to give variability and handling the wide range of topic conversations; we also developed mechanisms to control the quality of the responses (e.g., detecting and handling toxic interactions, keeping topic coherence, and increasing engagement by providing up-to-date information in a conversational style).

In addition, our system extends the capabilities of the Cobot architecture by in- corporating modules to automatically generate images, provide voice cloning capabilities with fictional characters, serve contextual sounds for detected entities in the dialogue, better capitalization and punctuation capabilities, and to provide natural expressions of interest.

Finally, we also included a trained generative selector and a reference-free model for automatic evaluation of turns that could reduce latencies and complement the ranker’s capabilities to select the best generative answer.",
