public_identifier,name,publisher,published_on_day,published_on_month,published_on_year,description,url
,,,,,,,
"adammgrant",,,,,,,
"adarsh-pathange",,,,,,,
"ajjames","Anthony James on Tackling Digital Transformation","Branding in Asia Magazine","28","11","2016","Anthony James offers up six tips for keeping pace with innovation.","http://brandinginasia.com/digital-transformation/"
"ajjames","What Makes A Loyal Customer?","Innovation Enterprise | Chief Strategy Officer","1","3","2016","The notion of the ‘loyal customer’ has been described as a ‘threatened species’. Commitment to a brand is considered anachronistic, and programs to support loyalty are regarded by some critics as doomed ventures. But I would argue that customer loyalty has been getting a bad rap. And part of the reason for this is that marketers have approached customer loyalty the wrong way, and have focused on locking customers in, rather than attracting new markets.","https://channels.theinnovationenterprise.com/articles/what-makes-a-loyal-customer"
"akshatha-ganji",,,,,,,
"alfredo-garrachon",,,,,,,
"andy-jassy-8b1615",,,,,,,
"angelwilson36",,,,,,,
"aravind-ellandula-a23163206",,,,,,,
"arshamg","Epidermal Wnt signalling regulates transcriptome heterogeneity and proliferative fate in neighbouring cells","Genome Biology","15","1","2018",,"https://genomebiology.biomedcentral.com/articles/10.1186/s13059-017-1384-y"
"avani-sathe-0026a5203","Creation of Knowledge Graph for Client Complaint Management System","Springer","1","1","2021",,"https://link.springer.com/chapter/10.1007/978-981-16-2934-1_2"
"ayutialgur","IOT based Smart Shopping System","International Journal of Research in Engineering, Science and Management","1","1","2020",,"https://www.ijresm.com/articles/iot-based-smart-shopping-system/"
"barackobama",,,,,,,
"berkgokova",,,,,,,
"berniefloresca",,,,,,,
"brian-j-porter",,,,,,,
"calvinnobles","Exploring Pilots' Experiences of Integrating Technologically Advanced Aircraft Within General Aviation: A Case Study","ProQuest (2015)",,,,"For doctoral dissertation, utilized a case study with three embedded participants' groups to explore the impact of technologically advanced aircraft on general aviation based on technological determinism by comparing the findings between private pilots, commercial and instrument rated pilots, and certified flight instructors to examine technological innovations affect on aviation safety and pilots' decision-making skills.",
"ch-divyesh-b17a9a171",,,,,,,
"chaitanya-bejjanki-55ba91171",,,,,,,
"chriskempczinski",,,,,,,
"cira-pozo-sanchez",,,,,,,
"deekshitha-gangam",,,,,,,
"diwakar-nayak-01355020a",,,,,,,
"entrust",,,,,,,
"fortnow","Fifty Years of P vs. NP and the Possibility of the Impossible","Communication of the ACM","1","1","2022","An update to the 2009 CACM survey viewing the P v NP problem through the lens of recent advances in computing, optimization, and machine learning.

Companion video: https://vimeo.com/649645372","https://cacm.acm.org/magazines/2022/1/257448-fifty-years-of-p-vs-np-and-the-possibility-of-the-impossible/fulltext"
"fortnow","The Golden Ticket: P, NP and the Search for the Impossible","Princeton University Press","25","3","2013","Non-technical popular science book on the P v NP problem.","http://goldenticket.fortnow.com"
"fortnow","The Status of the P Versus NP Problem","Communications of the ACM","1","9","2009","A survey of the well-known P versus NP problem that has over 275,000 downloads.","https://cacm.acm.org/magazines/2009/9/38904-the-status-of-the-p-versus-np-problem/fulltext"
"fortnow","Full List of Research Publications",,,,,,"http://lance.fortnow.com/papers/"
"gazcarater",,,,,,,
"gopal-raj-suresh-d",,,,,,,
"harshal29",,,,,,,
,,,,,,,
"interlee",,,,,,,
"ishanprabhune",,,,,,,
"jakka-gunith",,,,,,,
"jamiedimon",,,,,,,
"javier-moreno-frutos",,,,,,,
"joel-miranda-4159801a1",,,,,,,
