public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,title,cause,company,company_linkedin_profile_url,description,logo_url
,,,,,,,,,,,,
,,,,,,,,,,,,
"adammgrant",,,,,,,,,,,,
"adammgrant",,,,,,,,,,,,
"adarsh-pathange",,,,,,,,,,,,
"adarsh-pathange",,,,,,,,,,,,
"ajjames","1","3","2019",,,,"Judge eCommerce Lotus and Media","Science and Technology","ADFEST (Official)","https://www.linkedin.com/company/13273926/","ADFEST is Asia’s most celebrated regional creative festival.

Founded in 1998, ADFEST is the ideal place for the creative industry to gather, network, exchange ideas, and meet new friends.

With less than 200 delegates its 1st year, ADFEST now welcomes over 1,200 delegates from all over the world each year.

ADFEST is included in the WARC Rankings, successor to The Gunn Report. The WARC Rankings combine the winners' lists from the world's most important awards to establish the annual worldwide league tables for the global advertising industry.

It is the annual creative festival not to be missed to stay at the forefront of the rapidly changing creative, marketing and production industries.

ADFEST not only raises the standard of creative excellence in the region, it also celebrates the uniqueness of local culture. It is a learning hub for those in the communication industry through showcasing of the region’s best creative work.","https://media.licdn.com/dms/image/C560BAQEYpZxhWCH_Ug/company-logo_400_400/0/1630609404042/adfest_official__logo?e=1712188800&v=beta&t=GHZnRHmuMXip7Hw8bn7vVsx-C4FBni5a90SMOeX3tVc"
"ajjames","1","2","2019",,,,"Judge","Science and Technology","Edison Awards and Edison Universe","https://www.linkedin.com/company/521313/","The Edison Awards honor excellence in new product and service development, marketing, human-centered design, and innovation.","https://media.licdn.com/dms/image/C560BAQGUs0S1Z4aYMQ/company-logo_400_400/0/1631236595202/edison_awards_logo?e=1712188800&v=beta&t=NiRJoCwQSnyAA3Lu-30ZXwN0gqh5rVlNYZx0UgDkHEY"
"ajjames","1","3","2019",,,,"Judge eCommerce Lotus and Media","Science and Technology","ADFEST (Official)","https://www.linkedin.com/company/13273926/","ADFEST is Asia’s most celebrated regional creative festival.

Founded in 1998, ADFEST is the ideal place for the creative industry to gather, network, exchange ideas, and meet new friends.

With less than 200 delegates its 1st year, ADFEST now welcomes over 1,200 delegates from all over the world each year.

ADFEST is included in the WARC Rankings, successor to The Gunn Report. The WARC Rankings combine the winners' lists from the world's most important awards to establish the annual worldwide league tables for the global advertising industry.

It is the annual creative festival not to be missed to stay at the forefront of the rapidly changing creative, marketing and production industries.

ADFEST not only raises the standard of creative excellence in the region, it also celebrates the uniqueness of local culture. It is a learning hub for those in the communication industry through showcasing of the region’s best creative work.","https://media.licdn.com/dms/image/C560BAQEYpZxhWCH_Ug/company-logo_400_400/0/1630609404042/adfest_official__logo?e=1712188800&v=beta&t=GHZnRHmuMXip7Hw8bn7vVsx-C4FBni5a90SMOeX3tVc"
"ajjames","1","2","2019",,,,"Judge","Science and Technology","Edison Awards and Edison Universe","https://www.linkedin.com/company/521313/","The Edison Awards honor excellence in new product and service development, marketing, human-centered design, and innovation.","https://media.licdn.com/dms/image/C560BAQGUs0S1Z4aYMQ/company-logo_400_400/0/1631236595202/edison_awards_logo?e=1712188800&v=beta&t=NiRJoCwQSnyAA3Lu-30ZXwN0gqh5rVlNYZx0UgDkHEY"
"akshatha-ganji",,,,,,,,,,,,
